Txn_Identifier,Posting_Date,Counterparty_Description,Net_Debit_Amount,Client_PO_Reference
TRX-8001,01/10/2026,Tata Motors Commercials,18500.00,PO-80001
TRX-8002,01/10/2026,ZOMATO ENTERPRISE PVT LTD,9450.00,PO-80002
TRX-8003,02/10/2026,Meesho Logistics,24100.00,PO-80003
TRX-8004,02/10/2026,FLIPKART INTERNET SERVICES,42800.00,PO-80004
TRX-8005,03/10/2026,Paytm Financial,6200.00,PO-80005
TRX-8006,03/10/2026,Reliance Jio Infocomm Ltd,14900.00,PO-80006
TRX-8007,04/10/2026,MYNTRA FASHION BRANDS,19800.00,PO-80007
TRX-8008,04/10/2026,Uber India Systems,7250.00,PO-80008
TRX-8009,05/10/2026,Infosys Enterprise Solutions,53400.00,PO-80009
TRX-8010,05/10/2026,Reliance Retail Corporate,32800.00,PO-80010
TRX-8011,06/10/2026,SWIGGY BUNDL TECH,23600.00,PO-80011
TRX-8012,06/10/2026,Wipro Cloud Tech,44700.00,PO-80012
TRX-8013,07/10/2026,Bharti Airtel Telecom,16400.00,PO-80013
TRX-8014,07/10/2026,AMAZON SELLER SERVICES,31200.00,PO-80014
TRX-8015,08/10/2026,Ola Mobility Fleet,8950.00,PO-80015
TRX-8016,08/10/2026,Tata Motors Commercials,21300.00,PO-80016
TRX-8017,09/10/2026,Zomato Corporate,12750.00,PO-80017
TRX-8018,09/10/2026,Meesho Logistics,28600.00,PO-80018
TRX-8019,10/10/2026,FLIPKART INTERNET SERVICES,45200.00,PO-80019
TRX-8020,10/10/2026,Paytm Financial,7800.00,PO-80020
TRX-8021,11/10/2026,Reliance Jio Infocomm Ltd,18300.00,PO-80021
TRX-8022,11/10/2026,Myntra Brands,26400.00,PO-80022
TRX-8023,12/10/2026,Uber India Systems,6900.00,PO-80023
TRX-8024,12/10/2026,Infosys Enterprise Solutions,51800.00,PO-80024
TRX-8025,13/10/2026,Reliance Retail Corporate,37500.00,PO-80025
TRX-8026,13/10/2026,SWIGGY BUNDL TECH,20500.00,PO-80026
TRX-8027,14/10/2026,Wipro Cloud Tech,47200.00,PO-80027
TRX-8028,14/10/2026,Bharti Airtel Telecom,13900.00,PO-80028
TRX-8029,15/10/2026,AMAZON SELLER SERVICES,34800.00,PO-80029
TRX-8030,15/10/2026,Ola Mobility Fleet,9800.00,PO-80030
TRX-8004_DUP,02/10/2026,FLIPKART INTERNET SERVICES,42800.00,PO-80004
