Document_Number,Billing_Date,Client_Entity,Gross_Invoice_Amount,PO_Number
DOC-9001,01/10/2026,Tata Motors,18500.00,PO-80001
DOC-9002,01/10/2026,Zomato,9450.00,PO-80002
DOC-9003,02/10/2026,Meesho,24100.00,PO-80003
DOC-9004,02/10/2026,Flipkart,42800.00,PO-80004
DOC-9005,03/10/2026,Paytm,6200.00,PO-80005
DOC-9006,03/10/2026,Jio,14900.00,PO-80006
DOC-9007,04/10/2026,Myntra,19800.00,PO-80007
DOC-9008,04/10/2026,Uber,7250.00,PO-80008
DOC-9009,05/10/2026,Infosys,53400.00,PO-80009
DOC-9010,05/10/2026,Reliance Retail,32800.00,PO-80010
DOC-9011,06/10/2026,Swiggy,23600.00,PO-80011
DOC-9012,06/10/2026,Wipro,44700.00,PO-80012
DOC-9013,07/10/2026,Airtel,16400.00,PO-80013
DOC-9014,07/10/2026,Amazon India,31200.00,PO-80014
DOC-9015,08/10/2026,Ola,8950.00,PO-80015
DOC-9016,08/10/2026,Tata Motors,21300.00,PO-80016
DOC-9017,09/10/2026,Zomato,12750.00,PO-80017
DOC-9018,09/10/2026,Meesho,28600.00,PO-80018
DOC-9019,10/10/2026,Flipkart,46400.00,PO-80019
DOC-9020,10/10/2026,Paytm,8350.00,PO-80020
DOC-9021,11/10/2026,Jio,17650.00,PO-80021
DOC-9022,11/10/2026,Myntra,27200.00,PO-80022
DOC-9023,08/10/2026,Uber,6900.00,PO-80023
DOC-9024,09/10/2026,Infosys,51800.00,PO-80024
DOC-9025,10/10/2026,Reliance Retail,37500.00,PO-80025
DOC-9026,10/10/2026,Swiggy,20500.00,PO-80026
DOC-9030,15/10/2026,Ola,9800.00,PO-80030
